country_code,Account,Master_id,Account_id,latitude2,longitude,country2,Postal_code,street_name,Street_number
SE,"Homenick, Johnson and Kris",1638,1983--1,62.3946271,17.2842162,Sweden,851 78,Northview,835
JP,Wilderman Inc,2240,1148-46025-74881,37.7977942,139.1253637,Japan,959-1855,Truax,14
GM,Stehr-Willms,1983,2029--86,13.5712781,-15.3262905,Gambia,0,Algoma,1
ES,Stoltenberg Group,1148,1773-442 53-9,39.5013158,-0.3889622,Spain,46025,Longview,74881
CN,Powlowski Inc,2029,1875--54005,30.5383451,117.0666454,China,0,Ryan,86
SE,Nikolaus Group,1773,1098-116 23-4072,57.855421,11.8951003,Sweden,442 53,Londonderry,9
CN,Gulgowski-Welch,1875,2259-79977-76,32.009016,112.122426,China,0,John Wall,54005
SE,Abbott Inc,1098,1163-06750-000-2,59.3125021,18.0760798,Sweden,116 23,Maryland,4072
US,Kreiger Inc,2259,1231--3,31.7698671,-106.4161964,United States,79977,Twin Pines,76
BR,Heaney Group,1163,2175-747 20-61435,-23.6228759,-46.7816647,Brazil,06750-000,Amoth,2
CN,"Schultz, Gutmann and Feest",1231,1909-24000-000-52458,33.001096,106.91786,China,0,Portage,3
CZ,Langosh and Sons,2175,2069-96835-43574,49.9469881,18.1870189,Czech Republic,747 20,Sommers,61435
BR,"Stracke, Jakubowski and Halvorson",1909,1643-2303-22,-22.8262707,-43.0152252,Brazil,24000-000,Clarendon,52458
US,"Volkman, Funk and West",2069,2531--5,21.3488387,-157.9435603,United States,96835,Holmberg,43574
PH,Rohan Group,1643,2544--255,15.613097,120.438477,Philippines,2303,Moose,22
CN,"Schultz, Gutmann and Feest",1231,2386--85,33.001096,106.91786,China,0,Portage,3
CN,Heathcote LLC,2531,2383--4012,28.879936,106.935101,China,0,Sunnyside,5
CZ,Langosh and Sons,2175,1509--1,49.9469881,18.1870189,Czech Republic,747 20,Sommers,61435
CN,Rolfson LLC,2544,2532-55470-7490,42.438551,127.295067,China,0,Annamark,255
CN,McDermott-Turcotte,2386,1143-41355 CEDEX-482,32.165,108.8822222,China,0,Longview,85
CN,"Beahan, Mohr and Hyatt",1679,2255-254 62-5,46.748522,82.978928,China,0,6th,68976
CN,Kozey-Roberts,2383,1160--4,32.060255,118.796877,China,0,Blaine,4012
CN,Connelly LLC,1509,1699-4620-787-719,31.231121,121.466039,China,0,Fieldstone,1
US,Lockman and Sons,2532,2475--62,44.9799999,-93.26,United States,55470,Miller,7490
FR,Medhurst-Schiller,1143,1383--1782,47.581201,1.375111,France,41355 CEDEX,Susan,482
SE,"Schmidt, Wiegand and Crist",2255,2494--515,56.0660092,12.7332992,Sweden,254 62,Carberry,5
CN,"Kris, Rath and Sipes",1160,1066--1,30.274084,120.15507,China,0,South,4
PT,Bernhard-Russel,1699,1928--76,41.2918839,-8.1963545,Portugal,4620-787,Village,719
CN,Murazik LLC,2475,1112-20566-336,28.706919,117.821005,China,0,Jackson,62
CN,Labadie Group,1383,1608-4820-560-6,28.260141,112.571923,China,0,Troy,1782
CN,Cole-Fahey,2494,1791--9,30.945515,117.81154,China,0,Lillian,515
CN,Dicki LLC,1066,1959--3,23.681774,113.056042,China,0,Acker,1
SE,Pfannerstill Inc,1121,1065-43261-88,65.8368628,24.0986491,Sweden,953 34,Sunfield,32
CN,Runte LLC,1928,2456-H4S-6935,30.594336,105.236903,China,0,Elka,76
US,Grady and Sons,1112,1368-86130-000-0,38.889471,-77.0578855,United States,20566,Springs,336
PT,"West, Steuber and Walker",1608,2256--6,41.5212778,-8.1366948,Portugal,4820-560,Eastlawn,6
CN,Kuvalis Inc,1791,2165-95560-000-9,36.334307,99.670448,China,0,Mitchell,9
KR,"Schroeder, Mann and King",1959,2182--5356,34.9904542,126.4816856,South Korea,0,Grover,3
PK,Shields Inc,1065,2422-9930-025-64433,34.0112004,71.9795856,Pakistan,43261,Cardinal,88
CA,"Jacobson, Koch and Emmerich",2456,1168-137 24-56,50.2536,-96.06116,Canada,H4S,Talmadge,6935
BR,Stehr Inc,1368,1293-63211-9,-22.9941291,-51.1931385,Brazil,86130-000,La Follette,0
CN,"Tillman, Stokes and Beier",2256,1802--9,19.233277,109.412626,China,0,Hansons,6
CN,"Tillman, Stokes and Beier",2256,1055-1103-2060,19.233277,109.412626,China,0,Hansons,6
BR,"Dooley, Boyle and Weissnat",2165,1209--4,-29.3344108,-49.723909,Brazil,95560-000,Oak Valley,9
CN,"Fahey, Hintz and Volkman",2182,1797--48,38.5142512,116.5977552,China,0,Forest Dale,5356
PT,Monahan-Bernier,2422,1337-28300-000-8895,38.402951,-28.080155,Portugal,9930-025,Commercial,64433
SE,Kautzer LLC,1168,1522-76029 CEDEX-42,59.1575081,18.1350248,Sweden,137 24,Shoshone,56
PK,Rogahn-Douglas,1293,1777-21240-3074,28.0159533,69.5483393,Pakistan,63211,Ridgeway,9
CI,Hayes-Lynch,1802,1376-4515-462,5.7866228,-6.5890166,Ivory Coast,0,Cordelia,9
PH,Smitham Group,1055,1460-38703-15511,6.737092,124.600287,Philippines,1103,Kedzie,2060
QA,"Satterfield, Wuckert and Jerde",1209,1635--753,25.9210961,51.3385684,Qatar,0,Arrowood,4
CY,Marvin LLC,1797,1245-71309 CEDEX-84900,34.9922836,34.0140113,Cyprus,0,Florence,48
BR,Huel LLC,1337,2586--86,-21.1877747,-41.8799408,Brazil,28300-000,Northview,8895
FR,Graham-Hartmann,1522,2506--59,47.8225694,0.3908219,France,76029 CEDEX,Montana,42
HR,Volkman Inc,1777,2479-190018-48,43.6190257,16.7236298,Croatia,21240,Calypso,3074
PH,Flatley LLC,1376,1326-7947-8,13.0730815,123.5982956,Philippines,4515,Fairview,462
MX,Mann-Erdman,1460,1652--31,17.7409147,-91.7660525,Mexico,38703,La Follette,15511
GR,"Cremin, Spinka and Ernser",1635,2480--8,39.8949802,22.1890872,Greece,0,Hintze,753
FR,"Thompson, Kemmer and Mitchell",1245,2328-2500-645,46.6750305,4.3642884,France,71309 CEDEX,Ridgeview,84900
CN,Reinger Group,2586,1237-66-220-2500,30.677233,121.015142,China,0,Erie,86
CN,Buckridge Inc,2506,1507--5582,29.913085,97.817792,China,0,Tony,59
CO,Boehm Inc,2479,1172-63-720-72794,2.481207,-76.6990172,Colombia,190018,Thompson,48
ZA,"Gulgowski, Bartoletti and Ziemann",1326,1998--6,-34.0736398,18.470633,South Africa,7947,Forest Run,8
CN,Carter Inc,1652,2602-245-19,31.93957,121.012416,China,0,Carey,31
CN,Kerluke-Medhurst,2480,1374-32-607-72824,29.461194,110.152436,China,0,Reinke,8
AR,"Muller, Block and Schoen",2328,1659-2755-163-221,-34.6637851,-58.5017947,Argentina,2500,Trailsway,645
PL,West-Hyatt,1237,1334-5102-22,52.3369183,15.3336362,Poland,66-220,Packers,2500
CN,Schneider and Sons,1507,1383-999-3776-3063,32.0378049,118.7870855,China,0,Shoshone,5582
CI,Wisozk-Jenkins,2277,1218--4355,7.6730918,-5.5722297,Ivory Coast,0,Grasskamp,2685
PL,"Kunze, Will and Wiegand",1172,1543-21130-7639,51.82709,17.4539199,Poland,63-720,Union,72794
PL,"Kunze, Will and Wiegand",1172,1820-20016-7,51.82709,17.4539199,Poland,63-720,Union,72794
KR,Paucek-Altenwerth,1998,1085-41190-9,36.6424341,127.4890319,South Korea,0,Bonner,6
NZ,Bahringer-Rogahn,2602,1077--47,-35.229035,173.94869,New Zealand,245,Warrior,19
PL,Bailey LLC,1374,1104-4508-942,49.9851242,19.3263098,Poland,32-607,Eastwood,72824
PT,Dickinson Group,1659,2521-5016-552,38.751115,-9.4574506,Portugal,2755-163,Basil,221
PH,"Beatty, Friesen and Lind",1334,2508-8029-2,37.0594675,-120.8204617,Philippines,5102,Maryland,22
JP,Labadie Group,1383,1273-68610-000-92,38.3559764,140.3748668,Japan,999-3776,Boyd,3063
CN,Watsica LLC,1218,1405-32-708-7313,32.905305,101.755566,China,0,Canary,4355
TH,Raynor-Sawayn,1543,1454-39180-638,12.7361733,101.0782727,Thailand,21130,Brentwood,7639
US,Pouros-Doyle,1820,2337-37-306-16442,38.9374808,-77.0852258,United States,20016,Montana,7
TH,Kassulke Inc,1085,1498-76110-450,17.7032238,103.2317225,Thailand,41190,Center,9
CN,Kuhic LLC,1077,1714--6209,22.6229329,113.2773942,China,0,Butterfield,47
PH,Ledner-Jacobi,1104,2345-63-640-4438,13.2317498,123.7702587,Philippines,4508,Carberry,942
PH,Hammes-VonRueden,2521,2181-985-0862-2,11.042265,123.9418261,Philippines,5016,Cody,552
NO,Feeney LLC,2508,1254--3,67.2929841,14.587686,Norway,8029,Hansons,2
BR,Ebert-Altenwerth,1273,1269-501-0531-2,-1.0762009,-46.5547852,Brazil,68610-000,Glendale,92
PL,Halvorson-Ziemann,1405,1198-45922 CEDEX 9-3932,50.0751569,20.4549189,Poland,32-708,Anderson,7313
TH,"Lubowitz, Von and Lind",1454,1443-3070-063-70979,16.961392,102.2728739,Thailand,39180,Johnson,638
PL,Ryan Inc,2337,1882-8650-8,50.242123,22.4674999,Poland,37-306,Armistice,16442
TH,Towne and Sons,1498,1019-123 57-5307,15.1955811,104.8304807,Thailand,76110,Canary,450
CN,"King, Cartwright and Mertz",1714,1678-64130-7,24.565521,117.936238,China,0,Little Fleur,6209
PL,"Terry, Kilback and Dooley",2345,1813-472 01-594,51.2820434,17.9082196,Poland,63-640,Hagan,4438
JP,Kessler Inc,2181,2234-2520-053-92,38.2956138,140.9969841,Japan,985-0862,Warrior,2
CN,Thiel-Lang,1254,1084-70324-283,24.265926,116.081656,China,0,Talisman,3
JP,Predovic Inc,1269,2194-4111-6,35.4420431,136.6271698,Japan,501-0531,Spohn,2
FR,Simonis-Gutmann,1198,2299-30045-38,47.3591366,2.8002946,France,45922 CEDEX 9,Kinsman,3932
PT,"Gleason, Weissnat and Stroman",1443,1914-94140-8,40.3753066,-8.7157832,Portugal,3070-063,Fisk,70979
US,"Kuhic, Bode and Orn",1882,1023-4580-290-335,40.1929685,-74.6502902,United States,8650,Dapin,8
SE,Jerde-Pfeffer,1019,1333-112 75-15,59.2524333,18.0761199,Sweden,123 57,Judy,5307
US,Crist LLC,1678,1281-4730-220-9701,39.0345609,-94.5521274,United States,64130,Alpine,7
CZ,"Legros, Mann and Kuphal",1813,1208--3,50.5658445,14.6542767,Czech Republic,472 01,Roth,594
PT,"Bahringer, Ruecker and Smitham",2234,2065--67,39.3688081,-9.3284939,Portugal,2520-053,Tennyson,92
CN,Reinger Group,2586,1164--8108,30.677233,121.015142,China,0,Erie,86
MX,Jaskolski and Sons,1084,2195--27,21.8756188,-102.2848729,Mexico,70324,Ridge Oak,283
CN,Connelly LLC,1509,1823-39-215-230,31.231121,121.466039,China,0,Fieldstone,1
PH,Kemmer-Pacocha,2194,1280-11730-000-42,13.751166,121.0645073,Philippines,4111,Vermont,6
US,Wilkinson Group,2299,1881-4424-6,33.9255183,-83.9214896,United States,30045,7th,38
TH,Herman and Sons,1914,1955--420,6.6802044,101.4112049,Thailand,94140,Lighthouse Bay,8
PT,Koss Group,1023,1394--9,41.2263185,-8.344485,Portugal,4580-290,Katie,335
SE,"Hansen, Daugherty and Hamill",1333,1042-1028-46,59.2963732,18.068622,Sweden,112 75,Holmberg,15
PT,"Oberbrunner, D'Amore and Halvorson",1281,2489-10004-284,41.6698545,-8.4450745,Portugal,4730-220,Chive,9701
CN,Kautzer-Bernhard,1208,2112-50402-69,30.033679,119.971302,China,0,Center,3
CN,"O'Reilly, Thiel and Parisian",2065,2142--2518,19.710084,110.735357,China,0,Farwell,67
CN,Romaguera-Bernhard,1164,2410-48217-594,26.312444,99.850365,China,0,Milwaukee,8108
CN,"Barrows, Kuhic and Watsica",2195,2477-118 92-36186,40.634244,108.893327,China,0,Nobel,27
PL,Grimes LLC,1823,1981-347-0105-20988,50.0672776,21.2406149,Poland,39-215,Dwight,230
ZA,"Prohaska, Douglas and Lang",1989,1299-675 75-61,-31.5469052,29.0213682,South Africa,5163,Graceland,594
SE,Abbott Inc,1098,2446--3,59.3125021,18.0760798,Sweden,116 23,Maryland,4072
BR,Hickle Group,1280,1930-94174 CEDEX-3,-24.068741,-46.6512239,Brazil,11730-000,Jenifer,42
AR,"Heidenreich, Von and Kirlin",1881,1099--34340,-25.7792984,-64.9562897,Argentina,4424,Warrior,6
GM,Stehr-Willms,1983,1225-748 31-9338,13.5712781,-15.3262905,Gambia,0,Algoma,1
CN,"Schiller, Franecki and Feest",1955,2381-4507-4111,36.049805,-115.244096,China,0,Stoughton,420
VN,Wisozk LLC,1394,1758-88736-15049,20.1276773,105.6691136,Vietnam,0,Londonderry,9
AU,Senger and Sons,1042,1353-5246-9976,-34.0349557,151.0998291,Australia,1028,Dottie,46
PH,Hammes-VonRueden,2521,2129-S3N-63,11.042265,123.9418261,Philippines,5016,Cody,552
US,Harvey-Nolan,2489,1395-P56-71,40.7038704,-74.0138541,United States,10004,Butternut,284
CR,"Ernser, Ziemann and Larson",2112,2147--553,10.5943971,-85.2017554,Costa Rica,50402,Kingsford,69
CN,Harris-Stehr,2142,1652-45638-000-0,29.956858,107.209965,China,0,Walton,2518
US,Ryan-Hackett,2410,2216--6858,42.2827426,-83.1488186,United States,48217,Del Mar,594
SE,Gorczany-Spinka,2477,2443-3109-59,47.02018,-68.1434996,Sweden,118 92,Fisk,36186
JP,Farrell Group,1981,1934--98351,36.1008689,139.5772452,Japan,347-0105,Larry,20988
CZ,Bergstrom-Jast,1299,2390-83101-85565,49.1141224,16.1902227,Czech Republic,675 75,Emmet,61
CN,Cronin-Crist,2446,2197-4500-973,36.650038,101.766228,China,0,Cordelia,3
FR,Ondricka-Konopelski,1930,1698-89140-000-29341,48.8348801,2.5070548,France,94174 CEDEX,Maryland,3
CN,Schoen and Sons,1099,1967-69413 CEDEX 06-589,28.841329,91.016402,China,0,Anhalt,34340
SE,"Bayer, Padberg and Botsford",1225,1787-6004-506,60.1960972,17.8961823,Sweden,748 31,Anzinger,9338
PH,"Emmerich, Emmerich and Bartoletti",2381,2267--2,17.6992092,121.5038757,Philippines,4507,Schurz,4111
MX,Kirlin-Dare,1758,1877-N9A-29762,20.6523028,-87.0696273,Mexico,88736,Northfield,15049
AR,Schowalter-Johnson,1353,1483-06306 CEDEX 4-41729,-34.6089515,-58.4464356,Argentina,5246,Rieder,9976
CA,Prosacco and Sons,2129,1015-62247 CEDEX-51956,46.08336,-73.18245,Canada,S3N,Bowman,63
IE,"Collins, Stroman and Hintz",1395,2088-747 51-9,52.9480781,-7.0472382,Ireland,P56,Milwaukee,71
CN,O'Kon-Prosacco,2147,2201-1213-8878,38.058088,117.230602,China,0,Morrow,553
BR,Carter Inc,1652,1963-P31-0,-14.6486494,-39.5898526,Brazil,45638-000,Marquette,0
CN,Howe LLC,2216,2392-911018-783,31.803171,118.002516,China,0,Columbus,6858
CN,"King, Cartwright and Mertz",1714,2239-2889-700,24.565521,117.936238,China,0,Little Fleur,6209
BR,"Stracke, Jakubowski and Halvorson",1909,2044-3119-672,-22.8262707,-43.0152252,Brazil,24000-000,Clarendon,52458
PH,Cummerata Inc,2443,1709-6004-90,15.26667,120.86667,Philippines,3109,Oneill,59
CN,Klein-Mosciski,1934,2536-5020-53769,27.815743,114.416785,China,0,Lakewood,98351
FI,"Jones, Fay and Kub",2390,2157--72,60.3955998,22.3565914,Finland,83101,Shelley,85565
PH,"Lakin, Mayert and Boehm",2197,2448--19,13.6361135,123.1924955,Philippines,4500,Burrows,973
CN,Connelly LLC,1509,1613--2,31.231121,121.466039,China,0,Fieldstone,1
BR,"Homenick, Ratke and Langosh",1698,1600--241,-27.01139,-49.5483671,Brazil,89140-000,Dottie,29341
FR,"Cartwright, DuBuque and Vandervort",1967,2237--94165,43.0429124,1.9038837,France,69413 CEDEX 06,Shelley,589
HU,Hoeger-McKenzie,1787,2288--21,46.9067373,19.691788,Hungary,6004,Bellgrove,506
CA,Prosacco and Sons,2129,2546-66-470-7315,46.08336,-73.18245,Canada,S3N,Bowman,63
CN,"Heaney, Schuppe and Ward",2267,2334-861-3923-14,40.2023282,116.2398367,China,0,3rd,2
CA,Nader-Pacocha,1877,1644-33614 CEDEX-1,44.55015,-64.24874,Canada,N9A,Summit,29762
BR,Huel LLC,1337,1840-8042-3565,-21.1877747,-41.8799408,Brazil,28300-000,Northview,8895
FR,"Okuneva, Hand and Pacocha",1483,1153-709-0844-0,43.6953508,7.2559678,France,06306 CEDEX 4,Claremont,41729
FR,Gerlach Group,1015,1359--26,50.4217341,2.8830762,France,62247 CEDEX,Esch,51956
CZ,Gutmann Group,2088,1878-32-503-0,49.9321242,17.8000468,Czech Republic,747 51,Birchwood,9
AU,Feil Inc,2201,1427-98175-21,-33.8651294,151.2078882,Australia,1213,Miller,8878
IE,"Huels, Leffler and Johnson",1963,1879-191507-8854,35.7797381,-80.7087609,Ireland,P31,Tony,0
CO,Hettinger-Torp,2392,2515-797-1506-23665,-3.7702,-70.38306,Colombia,911018,Stang,783
BG,Fisher-Sanford,2239,1433-29913-201,41.3910706,23.200121,Bulgaria,2889,Bonner,700
PH,Trantow-Abbott,2044,1544-751 14-4879,15.48277,120.58604,Philippines,3119,Memorial,672
HU,"Wisozk, Oberbrunner and Hermiston",1709,1000-96500-000-4303,46.9067373,19.691788,Hungary,6004,Graedel,90
PH,Conn Group,2536,1412-261 45-817,10.6993883,122.5024428,Philippines,5020,Kinsman,53769
CN,Schneider-Kertzmann,2157,1663--5475,31.453134,93.888763,China,0,Heath,72
IE,"Collins, Stroman and Hintz",1395,1657-588 62-75,52.9480781,-7.0472382,Ireland,P56,Milwaukee,71
CN,"Monahan, Weimann and Morissette",2090,2217-44322-0,24.874132,118.675675,China,0,Lillian,73231
CN,Pollich-Lehner,2448,1996--974,23.3854292,113.4895468,China,0,Pleasure,19
GR,"Bruen, Kuhic and Marks",1613,2535-2501-0,36.7225782,25.2825598,Greece,0,La Follette,2
CN,"Considine, Boehm and Marks",1600,2040-30096-81430,28.489465,121.896202,China,0,Mitchell,241
CN,O'Hara-Nicolas,2237,1044-67-415-0,33.6634952,112.6061178,China,0,Algoma,94165
CN,"Rempel, Huels and Stracke",2288,1647--8563,30.266872,118.400608,China,0,Oakridge,21
PL,"Ledner, Trantow and Rogahn",2546,1373-62-563-7475,52.6235765,14.6349097,Poland,66-470,Springs,7315
JP,Raynor-Hammes,2334,1074-40130-78947,32.7423216,131.178836,Japan,861-3923,Sachtjen,14
FR,Abernathy Inc,1644,2070-3720-085-74,44.7721717,-0.6995221,France,33614 CEDEX,Truax,1
CN,Kerluke-Medhurst,2480,1916--53,29.461194,110.152436,China,0,Reinke,8
CH,"Pouros, Reinger and Wiza",1840,1512--2241,47.3920847,8.5382066,Switzerland,8042,Mosinee,3565
CN,Kuvalis Inc,1791,1664-4785-210-79,36.334307,99.670448,China,0,Mitchell,9
JP,"Bednar, Macejkovic and Hermiston",1153,1667--785,34.7487164,134.0793911,Japan,709-0844,Pepper Wood,0
KR,Buckridge Group,1359,2548-G5N-0,37.3942527,126.9568209,South Korea,0,Petterle,26
PL,"Stroman, Harvey and Smitham",1878,2488-135067-2,50.051293,19.372452,Poland,32-503,Hagan,0
US,"Kuhn, Littel and Schaden",1427,1358--325,47.61,-122.33,United States,98175,Tony,21
BR,"Stracke, Jakubowski and Halvorson",1909,2593-3814-44316,-22.8262707,-43.0152252,Brazil,24000-000,Clarendon,52458
CO,Williamson and Sons,1879,2030-54927-6540,3.22059,-76.415465,Colombia,191507,Hintze,8854
JP,Miller Inc,2515,1818-457 81-8,33.4596808,132.7393724,Japan,797-1506,Manley,23665
PH,Grady-Heathcote,2572,2550-9987-7,12.0379785,124.6581969,Philippines,2614,Clemons,1
MX,Nicolas-Waters,1433,1140-801 33-91,19.4127929,-99.1186381,Mexico,29913,Cherokee,201
CZ,"Carter, Greenfelder and Stamm",1544,1575-T4H-9,49.4259425,17.5920528,Czech Republic,751 14,Warner,4879
BR,Quigley and Sons,1000,1492--48,-30.0336816,-52.893221,Brazil,96500-000,Leroy,4303
SE,"Grant, Lang and Gutkowski",1412,2455--63,55.8893778,12.8237518,Sweden,261 45,Fisk,817
CN,"Hartmann, Witting and Emmerich",1663,1962-85200-000-9204,18.4622215,73.8899328,China,0,Granby,5475
PL,"Terry, Kilback and Dooley",2345,2278-2133-37,51.2820434,17.9082196,Poland,63-640,Hagan,4438
CA,"Gerlach, Cassin and Parker",1599,2192-V9B-9949,45.9891389,-67.2412221,Canada,E6G,Oneill,78670
CZ,Swaniawski-Zulauf,1657,1380--2776,49.2060334,15.5181999,Czech Republic,588 62,North,75
HR,Walsh Group,2217,2402-14640-000-149,45.3982443,16.8946158,Croatia,44322,Warner,0
CN,Green and Sons,1996,1289-4805-458-0,36.389401,120.44716,China,0,Di Loreto,974
PH,"Jerde, Bosco and Schinner",2535,2057-85550-000-7,14.7299584,121.050452,Philippines,2501,Badeau,0
